Tiempo	VE1	VE2	VE3	VE4	VE5
2024-10-07 00:00	0.08	-0.38	-0.41	-0.01	-0.33
2024-10-07 00:15	0.06	-0.38	-0.41	-0.03	-0.33
2024-10-07 00:30	0.04	-0.38	-0.41	-0.05	-0.33
2024-10-07 00:45	0.02	-0.38	-0.41	-0.07	-0.33
2024-10-07 01:00	-0.0	-0.38	-0.41	-0.09	-0.33
2024-10-07 01:15	-0.03	-0.38	-0.41	-0.11	-0.33
2024-10-07 01:30	-0.05	-0.38	-0.41	-0.13	-0.33
2024-10-07 01:45	-0.07	-0.38	-0.41	-0.15	-0.33
2024-10-07 02:00	-0.09	-0.38	-0.41	-0.17	-0.33
2024-10-07 02:15	-0.11	-0.38	-0.41	-0.19	-0.33
2024-10-07 02:30	-0.14	-0.38	-0.41	-0.21	-0.33
2024-10-07 02:45	-0.16	-0.38	-0.41	-0.23	-0.33
2024-10-07 03:00	-0.18	-0.38	-0.41	-0.25	-0.33
2024-10-07 03:15	-0.2	-0.38	-0.41	-0.27	-0.33
2024-10-07 03:30	-0.22	-0.38	-0.41	-0.29	-0.33
2024-10-07 03:45	-0.23	-0.38	-0.41	-0.29	-0.35
2024-10-07 04:00	-0.23	-0.4	-0.41	-0.29	-0.37
2024-10-07 04:15	-0.23	-0.42	-0.41	-0.29	-0.39
2024-10-07 04:30	-0.23	-0.42	-0.44	-0.29	-0.41
2024-10-07 04:45	-0.23	-0.45	-0.44	-0.29	-0.43
2024-10-07 05:00	-0.23	-0.45	-0.46	-0.29	-0.45
2024-10-07 05:15	-0.23	-0.47	-0.46	-0.29	-0.47
2024-10-07 05:30	-0.23	-0.5	-0.48	-0.29	-0.47
2024-10-07 05:45	-0.23	-0.5	-0.51	-0.29	-0.49
2024-10-07 06:00	-0.23	-0.52	-0.51	-0.29	-0.52
2024-10-07 06:15	-0.23	-0.52	-0.53	-0.29	-0.54
2024-10-07 06:30	-0.23	-0.55	-0.55	-0.29	-0.54
2024-10-07 06:45	-0.23	-0.57	-0.55	-0.29	-0.56
2024-10-07 07:00	-0.23	-0.57	-0.58	-0.29	-0.58
2024-10-07 07:15	-0.23	-0.57	-0.6	-0.29	-0.58
2024-10-07 07:30	-0.23	-0.57	-0.63	-0.29	-0.6
2024-10-07 07:45	-0.23	-0.57	-0.65	-0.29	-0.6
2024-10-07 08:00	-0.23	-0.54	-0.65	-0.29	-0.58
2024-10-07 08:15	-0.23	-0.52	-0.65	-0.29	-0.55
2024-10-07 08:30	-0.23	-0.49	-0.65	-0.29	-0.53
2024-10-07 08:45	-0.23	-0.47	-0.65	-0.27	-0.5
2024-10-07 09:00	-0.23	-0.49	-0.65	-0.25	-0.53
2024-10-07 09:15	-0.2	-0.47	-0.65	-0.23	-0.55
2024-10-07 09:30	-0.17	-0.44	-0.65	-0.2	-0.57
2024-10-07 09:45	-0.13	-0.42	-0.65	-0.18	-0.59
2024-10-07 10:00	-0.1	-0.44	-0.65	-0.16	-0.6
2024-10-07 10:15	-0.07	-0.46	-0.65	-0.16	-0.6
2024-10-07 10:30	-0.04	-0.49	-0.62	-0.16	-0.6
2024-10-07 10:45	-0.01	-0.51	-0.58	-0.16	-0.58
2024-10-07 11:00	0.02	-0.54	-0.61	-0.16	-0.55
2024-10-07 11:15	0.05	-0.56	-0.63	-0.16	-0.53
2024-10-07 11:30	0.08	-0.57	-0.63	-0.14	-0.55
2024-10-07 11:45	0.11	-0.57	-0.65	-0.12	-0.57
